"","Release_number","interview_id","State","Family_comp_change","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","family_identifier","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"11824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11826",6,700,20,0,2001,38,1,0,0,0,3001,2,1,65,838,0,5,2,0,0,0,0,10,80000,0,2,118,11,0,0,0,0,0,0,0,0,1,9,1,5,99,2,17,0,51387.9443436779
"11827",6,632,20,0,2001,34,2,0,1,7,3002,4,1,245,248,0,5,3,0,0,0,0,8,90000,0,2,140,7,0,0,0,0,0,0,0,0,1,1,1,5,8,2,17,0,57811.4373866377
"11828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11829",6,2161,20,0,2001,57,2,0,0,0,3003,2,1,903,728,0,5,3,0,0,0,0,28,8000,0,3,152,2,0,0,0,0,0,0,0,0,7,0,0,0,1,2,16,0,5138.79443436779
"11830",6,6564,31,8,2001,50,1,47,0,0,3004,1,1,715,417,0,5,1,220,639,5,35,0,70000,55000,3,165,4,4,140,0,1,0,0,0,2,1,0,0,0,2,8,16,16,44964.4513007182
"11831",6,815,31,0,2001,35,2,0,1,15,3005,2,1,902,728,0,5,3,0,0,0,0,15,9000,0,3,138,2,0,0,0,0,0,0,0,0,5,0,0,0,8,2,12,0,5781.14373866377
"11832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11833",6,3031,31,0,2001,48,1,45,1,16,3006,1,1,510,69,0,1,1,925,838,5,21,7,55000,27000,3,220,0,3,165,5,1,3,5,0,2,1,0,0,0,2,1,8,13,35329.2117362786
